2025-10-03 18:16:08,304 | INFO     | migration | [module_manager] Carregando módulos de migração...
2025-10-03 18:16:08,434 | INFO     | migration | [module_manager] Módulo sqlalchemy_migration carregado
2025-10-03 18:16:08,441 | INFO     | migration | [module_manager] Módulo scram_checker carregado
2025-10-03 18:16:08,454 | INFO     | migration | [module_manager] Módulo connection_tester carregado
2025-10-03 18:16:08,455 | INFO     | migration | [module_manager] Módulo user_discoverer carregado
2025-10-03 18:16:08,455 | INFO     | migration | [module_manager] Módulo password_analyzer carregado
2025-10-03 18:16:08,455 | INFO     | migration | [orchestrator] Orquestrador inicializado - Session ID: 20251003_181608
2025-10-03 18:16:10,301 | INFO     | migration | [step.load_configurations] 🚀 Iniciando: Carregar configurações de migração
2025-10-03 18:16:10,302 | INFO     | migration | [config] Regras carregadas: 3 seções
2025-10-03 18:16:10,302 | INFO     | migration | [config] Configurações de servidor carregadas: 0/2
2025-10-03 18:16:10,302 | INFO     | migration | [step.load_configurations] ✅ Concluído: Carregar configurações de migração (0.00s)
2025-10-03 18:16:31,719 | INFO     | migration | [orchestrator] ======================================================================
2025-10-03 18:16:31,719 | INFO     | migration | [orchestrator] 🚀 INICIANDO MIGRAÇÃO POSTGRESQL COMPLETA
2025-10-03 18:16:31,719 | INFO     | migration | [orchestrator] ======================================================================
2025-10-03 18:16:31,719 | INFO     | migration | [orchestrator] Session ID: 20251003_181608
2025-10-03 18:16:31,719 | INFO     | migration | [orchestrator] Timestamp: 2025-10-03 18:16:31.719077
2025-10-03 18:16:31,719 | INFO     | migration | [step.validate_environment] 🚀 Iniciando: Validar ambiente e dependências
2025-10-03 18:16:31,719 | INFO     | migration | [environment] Python 3.13.3
2025-10-03 18:16:31,719 | INFO     | migration | [step.validate_environment] ✅ Concluído: Validar ambiente e dependências (0.00s)
2025-10-03 18:16:31,719 | INFO     | migration | [step.load_configurations] 🚀 Iniciando: Carregar configurações de migração
2025-10-03 18:16:31,720 | INFO     | migration | [config] Regras carregadas: 3 seções
2025-10-03 18:16:31,720 | INFO     | migration | [config] Configurações de servidor carregadas: 0/2
2025-10-03 18:16:31,720 | INFO     | migration | [step.load_configurations] ✅ Concluído: Carregar configurações de migração (0.00s)
2025-10-03 18:16:31,720 | INFO     | migration | [step.check_modules] 🚀 Iniciando: Verificar módulos carregados
2025-10-03 18:16:31,720 | INFO     | migration | [module_manager] Todos os módulos carregados com sucesso
2025-10-03 18:16:31,720 | INFO     | migration | [step.check_modules] ✅ Concluído: Verificar módulos carregados (0.00s)
2025-10-03 18:16:31,720 | INFO     | migration | [step.test_connectivity] 🚀 Iniciando: Testar conectividade com servidores
2025-10-03 18:16:31,720 | INFO     | migration | [connectivity] Testando conectividade com servidores...
2025-10-03 18:16:31,720 | INFO     | migration | [connectivity] Usando métodos reais do SQLAlchemy migrator
2025-10-03 18:16:36,696 | INFO     | migration | [connectivity] Conectividade real testada com sucesso
2025-10-03 18:16:36,696 | INFO     | migration | [step.test_connectivity] ✅ Concluído: Testar conectividade com servidores (4.98s)
2025-10-03 18:16:36,696 | INFO     | migration | [step.discover_source] 🚀 Iniciando: Descobrir estrutura do servidor origem
2025-10-03 18:16:36,696 | INFO     | migration.user_discoverer | [user_discoverer] Inicializando componente user_discoverer
2025-10-03 18:16:36,696 | INFO     | migration.user_discoverer | [user_discoverer] Inicializando descobridor de usuários
2025-10-03 18:16:36,697 | INFO     | migration.user_discoverer | [user_discoverer] ✅ Componente user_discoverer pronto
2025-10-03 18:16:36,697 | INFO     | migration | [discovery] Descobrindo usuários do servidor origem...
2025-10-03 18:16:36,697 | DEBUG    | migration.user_discoverer | [user_discoverer] Executando método: discover_all_users
2025-10-03 18:16:36,697 | INFO     | migration.user_discoverer | [user_discoverer] Iniciando descoberta de usuários em todos os servidores
2025-10-03 18:16:36,697 | DEBUG    | migration.user_discoverer | [user_discoverer] Executando método: discover_server_users
2025-10-03 18:16:36,697 | INFO     | migration.user_discoverer | [user_discoverer] Descobrindo usuários em origem...
2025-10-03 18:16:42,853 | INFO     | migration.user_discoverer | [user_discoverer] ✅ 1 usuários encontrados em origem
2025-10-03 18:16:42,853 | DEBUG    | migration.user_discoverer | [user_discoverer] Executando método: discover_server_users
