2025-10-03 16:03:28,561 | INFO     | migration | [module_manager] Carregando módulos de migração...
2025-10-03 16:03:28,687 | INFO     | migration | [module_manager] Módulo sqlalchemy_migration carregado
2025-10-03 16:03:28,694 | INFO     | migration | [module_manager] Módulo scram_checker carregado
2025-10-03 16:03:28,708 | INFO     | migration | [module_manager] Módulo connection_tester carregado
2025-10-03 16:03:28,708 | INFO     | migration | [module_manager] Módulo user_discoverer carregado
2025-10-03 16:03:28,709 | INFO     | migration | [module_manager] Módulo password_analyzer carregado
2025-10-03 16:03:28,709 | INFO     | migration | [orchestrator] Orquestrador inicializado - Session ID: 20251003_160328
2025-10-03 16:03:31,882 | INFO     | migration | [orchestrator] 🔍 Executando simulação completa...
2025-10-03 16:03:31,882 | INFO     | migration | [step.validate_environment] 🚀 Iniciando: Validar ambiente e dependências
2025-10-03 16:03:31,882 | INFO     | migration | [environment] Python 3.13.3
2025-10-03 16:03:31,883 | INFO     | migration | [step.validate_environment] ✅ Concluído: Validar ambiente e dependências (0.00s)
2025-10-03 16:03:31,883 | INFO     | migration | [step.load_configurations] 🚀 Iniciando: Carregar configurações de migração
2025-10-03 16:03:31,883 | INFO     | migration | [config] Regras carregadas: 3 seções
2025-10-03 16:03:31,883 | INFO     | migration | [config] Configurações de servidor carregadas: 0/2
2025-10-03 16:03:31,883 | INFO     | migration | [step.load_configurations] ✅ Concluído: Carregar configurações de migração (0.00s)
2025-10-03 16:03:31,883 | INFO     | migration | [step.check_modules] 🚀 Iniciando: Verificar módulos carregados
2025-10-03 16:03:31,883 | INFO     | migration | [module_manager] Todos os módulos carregados com sucesso
2025-10-03 16:03:31,883 | INFO     | migration | [step.check_modules] ✅ Concluído: Verificar módulos carregados (0.00s)
2025-10-03 16:03:31,883 | INFO     | migration | [step.test_connectivity] 🚀 Iniciando: Testar conectividade com servidores
2025-10-03 16:03:31,883 | INFO     | migration | [connectivity] Testando conectividade com servidores...
2025-10-03 16:03:31,883 | INFO     | migration | [connectivity] Usando métodos reais do SQLAlchemy migrator
2025-10-03 16:03:37,449 | INFO     | migration | [connectivity] Conectividade real testada com sucesso
2025-10-03 16:03:37,449 | INFO     | migration | [step.test_connectivity] ✅ Concluído: Testar conectividade com servidores (5.57s)
2025-10-03 16:03:42,911 | INFO     | migration | [orchestrator] ✅ Simulação completa concluída
